timestamp, actor_id, actor_type, event_type, cell_x, cell_y, genes
1663162754, 1, pill, created, 0, 0, 
1663162754, 2, pill, created, 9, 2, 
1663162754, 3, pill, created, 0, 0, 
1663162754, 4, pill, created, 7, 2, 
1663162754, 5, ghost, created, 0, 0, 
1663162754, 6, ghost, created, 0, 0, 
1663162754, 7, player, created, 0, 0, { [ ( 0.77155390417486) ( 0.96937733003912) ( -0.98310438812308) ( -0.88090216775851) ( 0.13976039583668) ( 0.5914989513187)] [ ( -0.0062769342577211 -0.16097759413892 0.12930653391342 0.74399283834442 -0.89393907583826 -0.99796333555888) ( 0.92006660416331 -0.8020558958914 -0.49599857018983 0.054187455666306 0.52569715380764 0.63841760020071) ( -0.78893682049113 0.12976415873297 -0.88766231154129 0.91618335245862 -0.38983792114269 0.68557692406233)] [ ( -0.99781625622763 0.64466089131175 0.5662436781295)]}
1663162758, 8, pill, created, 2, 13, 
1663162761, 7, player, destroyed, 2, 11, { [ ( 0.77155390417486) ( 0.96937733003912) ( -0.98310438812308) ( -0.88090216775851) ( 0.13976039583668) ( 0.5914989513187)] [ ( -0.0062769342577211 -0.16097759413892 0.12930653391342 0.74399283834442 -0.89393907583826 -0.99796333555888) ( 0.92006660416331 -0.8020558958914 -0.49599857018983 0.054187455666306 0.52569715380764 0.63841760020071) ( -0.78893682049113 0.12976415873297 -0.88766231154129 0.91618335245862 -0.38983792114269 0.68557692406233)] [ ( -0.99781625622763 0.64466089131175 0.5662436781295)]}
1663162761, 9, player, created, 2, 11, { [ ( -0.60275336762333) ( 0.81725243756354) ( 0.59138350223437) ( -0.63249611103302) ( -0.70987598178215) ( 0.11216572483202)] [ ( -0.67548763021236 0.98082294078114 -0.12204253550996 -0.69529015709051 -0.57996226200595 0.0059093227836546) ( -0.24003972218287 -0.48165200469087 -0.19278641104906 0.2887685307267 0.21196775322832 -0.60657529934967) ( -0.85391177305312 0.042036015041782 0.56859183784814 0.79860033382527 0.34148719505454 0.28643218850589)] [ ( 0.71608594128735 -0.95766723778185 0.81507772036831)]}
1663162762, 9, player, destroyed, 22, 6, { [ ( -0.60275336762333) ( 0.81725243756354) ( 0.59138350223437) ( -0.63249611103302) ( -0.70987598178215) ( 0.11216572483202)] [ ( -0.67548763021236 0.98082294078114 -0.12204253550996 -0.69529015709051 -0.57996226200595 0.0059093227836546) ( -0.24003972218287 -0.48165200469087 -0.19278641104906 0.2887685307267 0.21196775322832 -0.60657529934967) ( -0.85391177305312 0.042036015041782 0.56859183784814 0.79860033382527 0.34148719505454 0.28643218850589)] [ ( 0.71608594128735 -0.95766723778185 0.81507772036831)]}
1663162762, 10, player, created, 22, 6, { [ ( -0.7148206688045) ( 0.74544667987903) ( 0.571466699249) ( 0.67610076469729) ( 0.35173532027413) ( 0.40861411779345)] [ ( 0.38914455989959 0.9207144488476 0.40857726473283 -0.6746949833717 0.89813791970439 -0.22786775319799) ( 0.58645952187985 0.26562535446699 -0.051815098569934 0.84043112645899 -0.65734853006791 0.73266267859966) ( 0.18246594860865 -0.8924643625241 -0.24250725425468 0.085661281319448 0.96847597985204 0.96069570262841)] [ ( 0.37198379331446 -0.60729257629223 -0.24073264181518)]}
1663162762, 10, player, destroyed, 27, 8, { [ ( -0.7148206688045) ( 0.74544667987903) ( 0.571466699249) ( 0.67610076469729) ( 0.35173532027413) ( 0.40861411779345)] [ ( 0.38914455989959 0.9207144488476 0.40857726473283 -0.6746949833717 0.89813791970439 -0.22786775319799) ( 0.58645952187985 0.26562535446699 -0.051815098569934 0.84043112645899 -0.65734853006791 0.73266267859966) ( 0.18246594860865 -0.8924643625241 -0.24250725425468 0.085661281319448 0.96847597985204 0.96069570262841)] [ ( 0.37198379331446 -0.60729257629223 -0.24073264181518)]}
1663162762, 11, player, created, 27, 8, { [ ( 0.23228761080177) ( -0.47913051832633) ( -0.9606496409359) ( -0.61387262415488) ( 0.23988671601596) ( -0.26924854700366)] [ ( 0.63339860488514 0.46854937095314 0.91823980995459 -0.86098070915135 -0.49711680025309 0.89410231517664) ( 0.25911436882868 0.99712027591467 0.61747863529545 0.36258741112008 0.69107934969527 0.49275515884426) ( 0.63976379953285 -0.15892546738177 0.65759141883266 -0.83067780150807 -0.87784480673732 -0.02237971678658)] [ ( 0.57425593935017 -0.83580277499777 0.11710481371754)]}
1663162763, 11, player, destroyed, 27, 10, { [ ( 0.23228761080177) ( -0.47913051832633) ( -0.9606496409359) ( -0.61387262415488) ( 0.23988671601596) ( -0.26924854700366)] [ ( 0.63339860488514 0.46854937095314 0.91823980995459 -0.86098070915135 -0.49711680025309 0.89410231517664) ( 0.25911436882868 0.99712027591467 0.61747863529545 0.36258741112008 0.69107934969527 0.49275515884426) ( 0.63976379953285 -0.15892546738177 0.65759141883266 -0.83067780150807 -0.87784480673732 -0.02237971678658)] [ ( 0.57425593935017 -0.83580277499777 0.11710481371754)]}
