timestamp, actor_id, actor_type, event_type, cell_x, cell_y
1659305246, 1, ghost, created, 0, 0
1659305246, 2, player, created, 0, 0
1659305247, 2, player, destroyed, 20, 6
1659305247, 3, player, created, 20, 6
1659305249, 3, player, destroyed, 7, 7
1659305249, 4, player, created, 7, 7
1659305249, 4, player, destroyed, 2, 9
1659305249, 5, player, created, 2, 9
1659305250, 5, player, destroyed, 19, 12
1659305250, 6, player, created, 19, 12
1659305250, 6, player, destroyed, 22, 12
1659305250, 7, player, created, 22, 12
1659305252, 7, player, destroyed, 19, 12
1659305252, 8, player, created, 19, 12
1659305254, 8, player, destroyed, 18, 6
1659305254, 9, player, created, 18, 6
1659305254, 9, player, destroyed, 19, 7
1659305254, 10, player, created, 19, 7
1659305256, 10, player, destroyed, 22, 3
1659305256, 11, player, created, 22, 3
1659305256, 11, player, destroyed, 16, 5
1659305256, 12, player, created, 16, 5
1659305257, 12, player, destroyed, 27, 7
1659305257, 13, player, created, 27, 7
1659305257, 13, player, destroyed, 22, 3
1659305257, 14, player, created, 22, 3
1659305257, 14, player, destroyed, 13, 10
1659305257, 15, player, created, 13, 10
1659305258, 15, player, destroyed, 27, 12
1659305258, 16, player, created, 27, 12
1659305259, 16, player, destroyed, 7, 10
1659305259, 17, player, created, 7, 10
1659305261, 17, player, destroyed, 19, 12
1659305261, 18, player, created, 19, 12
1659305263, 18, player, destroyed, 19, 13
1659305263, 19, player, created, 19, 13
1659305264, 19, player, destroyed, 7, 6
1659305264, 20, player, created, 7, 6
1659305266, 20, player, destroyed, 19, 8
1659305266, 21, player, created, 19, 8
1659305266, 21, player, destroyed, 13, 11
1659305266, 22, player, created, 13, 11
1659305269, 22, player, destroyed, 27, 7
1659305269, 23, player, created, 27, 7
1659305270, 23, player, destroyed, 13, 11
1659305270, 24, player, created, 13, 11
1659305271, 24, player, destroyed, 19, 13
1659305271, 25, player, created, 19, 13
1659305272, 25, player, destroyed, 2, 2
1659305272, 26, player, created, 2, 2
1659305272, 26, player, destroyed, 22, 5
1659305272, 27, player, created, 22, 5
1659305273, 27, player, destroyed, 7, 2
1659305273, 28, player, created, 7, 2
1659305273, 28, player, destroyed, 27, 3
1659305273, 29, player, created, 27, 3
1659305274, 29, player, destroyed, 19, 12
1659305274, 30, player, created, 19, 12
1659305277, 30, player, destroyed, 10, 13
1659305277, 31, player, created, 10, 13
1659305278, 31, player, destroyed, 7, 6
1659305278, 32, player, created, 7, 6
1659305278, 32, player, destroyed, 2, 3
1659305278, 33, player, created, 2, 3
1659305278, 33, player, destroyed, 16, 5
1659305278, 34, player, created, 16, 5
1659305279, 34, player, destroyed, 27, 12
1659305279, 35, player, created, 27, 12
1659305279, 35, player, destroyed, 13, 2
1659305279, 36, player, created, 13, 2
1659305280, 36, player, destroyed, 10, 12
1659305280, 37, player, created, 10, 12
1659305280, 37, player, destroyed, 19, 13
1659305280, 38, player, created, 19, 13
1659305284, 38, player, destroyed, 2, 6
1659305284, 39, player, created, 2, 6
1659305284, 39, player, destroyed, 2, 12
1659305284, 40, player, created, 2, 12
1659305285, 40, player, destroyed, 13, 5
1659305285, 41, player, created, 13, 5
1659305286, 41, player, destroyed, 2, 3
1659305286, 42, player, created, 2, 3
1659305287, 42, player, destroyed, 27, 4
1659305287, 43, player, created, 27, 4
1659305288, 43, player, destroyed, 2, 4
1659305288, 44, player, created, 2, 4
1659305288, 44, player, destroyed, 7, 4
1659305288, 45, player, created, 7, 4
1659305292, 45, player, destroyed, 10, 12
1659305292, 46, player, created, 10, 12
1659305294, 46, player, destroyed, 13, 4
1659305294, 47, player, created, 13, 4
1659305298, 47, player, destroyed, 10, 12
1659305298, 48, player, created, 10, 12
1659305299, 48, player, destroyed, 22, 8
1659305299, 49, player, created, 22, 8
1659305299, 49, player, destroyed, 2, 4
1659305299, 50, player, created, 2, 4
1659305300, 50, player, destroyed, 2, 3
1659305300, 51, player, created, 2, 3
1659305301, 51, player, destroyed, 19, 13
1659305301, 52, player, created, 19, 13
1659305302, 52, player, destroyed, 13, 5
1659305302, 53, player, created, 13, 5
1659305305, 53, player, destroyed, 7, 3
1659305305, 54, player, created, 7, 3
1659305306, 54, player, destroyed, 13, 11
1659305306, 55, player, created, 13, 11
1659305307, 55, player, destroyed, 2, 3
1659305307, 56, player, created, 2, 3
1659305307, 56, player, destroyed, 27, 9
1659305307, 57, player, created, 27, 9
1659305308, 57, player, destroyed, 15, 12
1659305308, 58, player, created, 15, 12
1659305308, 58, player, destroyed, 27, 12
1659305308, 59, player, created, 27, 12
1659305309, 59, player, destroyed, 13, 12
1659305309, 60, player, created, 13, 12
1659305309, 60, player, destroyed, 22, 6
1659305309, 61, player, created, 22, 6
1659305309, 61, player, destroyed, 22, 9
1659305309, 62, player, created, 22, 9
1659305312, 62, player, destroyed, 16, 5
1659305312, 63, player, created, 16, 5
1659305313, 63, player, destroyed, 19, 12
1659305313, 64, player, created, 19, 12
1659305314, 64, player, destroyed, 10, 7
1659305314, 65, player, created, 10, 7
1659305314, 65, player, destroyed, 21, 2
1659305314, 66, player, created, 21, 2
1659305315, 66, player, destroyed, 10, 7
1659305315, 67, player, created, 10, 7
1659305315, 67, player, destroyed, 10, 13
1659305315, 68, player, created, 10, 13
1659305315, 68, player, destroyed, 7, 13
1659305315, 69, player, created, 7, 13
1659305316, 69, player, destroyed, 22, 9
1659305316, 70, player, created, 22, 9
1659305317, 70, player, destroyed, 16, 10
1659305317, 71, player, created, 16, 10
1659305320, 71, player, destroyed, 7, 2
1659305320, 72, player, created, 7, 2
1659305320, 72, player, destroyed, 16, 9
1659305320, 73, player, created, 16, 9
1659305321, 73, player, destroyed, 27, 2
1659305321, 74, player, created, 27, 2
1659305321, 74, player, destroyed, 13, 10
1659305321, 75, player, created, 13, 10
1659305322, 75, player, destroyed, 10, 8
1659305322, 76, player, created, 10, 8
1659305323, 76, player, destroyed, 16, 6
1659305323, 77, player, created, 16, 6
1659305323, 77, player, destroyed, 22, 6
1659305323, 78, player, created, 22, 6
1659305324, 78, player, destroyed, 27, 3
1659305324, 79, player, created, 27, 3
1659305327, 79, player, destroyed, 2, 6
1659305327, 80, player, created, 2, 6
1659305328, 80, player, destroyed, 19, 12
1659305328, 81, player, created, 19, 12
1659305329, 81, player, destroyed, 27, 7
1659305329, 82, player, created, 27, 7
1659305329, 82, player, destroyed, 13, 6
1659305329, 83, player, created, 13, 6
1659305330, 83, player, destroyed, 19, 12
1659305330, 84, player, created, 19, 12
1659305331, 84, player, destroyed, 2, 12
1659305331, 85, player, created, 2, 12
1659305333, 85, player, destroyed, 16, 6
1659305333, 86, player, created, 16, 6
1659305334, 86, player, destroyed, 22, 12
1659305334, 87, player, created, 22, 12
1659305334, 87, player, destroyed, 22, 13
1659305334, 88, player, created, 22, 13
1659305335, 88, player, destroyed, 2, 3
1659305335, 89, player, created, 2, 3
1659305336, 89, player, destroyed, 10, 13
1659305336, 90, player, created, 10, 13
1659305336, 90, player, destroyed, 10, 12
1659305336, 91, player, created, 10, 12
1659305337, 91, player, destroyed, 27, 8
1659305337, 92, player, created, 27, 8
1659305341, 92, player, destroyed, 7, 12
1659305341, 93, player, created, 7, 12
1659305341, 93, player, destroyed, 7, 7
1659305341, 94, player, created, 7, 7
1659305342, 94, player, destroyed, 19, 13
1659305342, 95, player, created, 19, 13
1659305342, 95, player, destroyed, 7, 7
1659305342, 96, player, created, 7, 7
1659305343, 96, player, destroyed, 16, 3
1659305343, 97, player, created, 16, 3
1659305345, 97, player, destroyed, 2, 9
1659305345, 98, player, created, 2, 9
1659305346, 98, player, destroyed, 22, 11
1659305346, 99, player, created, 22, 11
1659305349, 99, player, destroyed, 27, 3
1659305349, 100, player, created, 27, 3
1659305350, 100, player, destroyed, 27, 7
1659305350, 101, player, created, 27, 7
1659305351, 101, player, destroyed, 7, 7
